CustomerID,FirstName,LastName,Gender,BirthDate,City,JoinDate,Age
C001,Michael,Davis,M,1996-09-11,Osborneport,9/25/2022,29
C002,Michael,Miller,M,1959-08-18,"New Gabrielleport",11/3/2020,66
C003,Carol,Hays,F,2005-04-19,"Port Allen",2/12/2024,20
C004,Joseph,Ward,M,1992-06-16,"East Edgarborough",9/9/2024,33
C005,Jamie,Salinas,M,1992-06-18,"Port Kimberly",2/24/2022,33
C006,Danny,Moore,M,1986-10-03,Costaberg,7/9/2022,39
C007,Erin,Walker,M,1985-01-11,"West Jasmine",10/13/2021,40
C008,Isaiah,Williams,M,1960-11-13,"New Michaelland",3/4/2025,65
C009,Richard,Pacheco,F,2004-08-15,"West Lisaville",4/17/2025,21
C010,Catherine,Rice,M,1976-12-12,"West Carol",7/23/2025,49
C011,Haley,Williams,M,1997-03-03,Leburgh,5/12/2023,28
C012,Dale,Perry,M,1989-12-08,"Lake Dawn",7/16/2021,36
C013,Robert,Anderson,M,1955-01-28,Jillianhaven,3/22/2023,70
C014,Brittany,Green,M,1974-06-25,"East Samantha",11/9/2021,51
C015,Matthew,Molina,M,1993-12-12,Quinnville,11/27/2022,32
C016,Miguel,Johnson,M,1976-04-27,Murrayborough,2/21/2022,49
C017,Vanessa,Anderson,F,1982-03-11,Peterside,9/25/2024,43
C018,Breanna,Davis,M,1994-08-19,"East William",11/12/2024,31
C019,John,Smith,F,1998-05-16,Stephaniechester,5/17/2023,27
C020,Ryan,Cole,F,1982-06-26,Travisstad,4/19/2024,43
C021,Debbie,Martin,M,1993-11-17,Meganmouth,1/22/2022,32
C022,Megan,Velasquez,M,1955-11-16,"East James",10/2/2020,70
C023,Mark,Martinez,F,1972-05-09,"New Christophermouth",10/19/2020,53
C024,Molly,Murray,F,1961-11-25,"North April",4/20/2023,64
C025,Cheryl,Gilbert,F,1971-03-12,Bradyshire,1/14/2022,54
C026,Justin,Macdonald,M,2004-01-04,Shepherdburgh,9/3/2024,21
C027,Jacqueline,Martin,M,1959-02-05,Robertmouth,8/30/2023,66
C028,John,Carr,F,1960-02-10,"New David",12/16/2022,65
C029,Tyler,Levine,M,1978-05-20,"West Charles",8/30/2021,47
C030,Lacey,Hall,M,2002-06-10,Thomashaven,8/27/2022,23
C031,Ashley,Gibson,F,2003-03-14,"East Carrieberg",8/26/2025,22
C032,Valerie,Macdonald,M,1992-11-09,"East Shelby",1/12/2021,33
C033,Jenny,Beck,F,1978-07-27,"Lake Cody",3/17/2025,47
C034,Kari,Miller,F,1964-12-19,"East Mary",1/13/2025,60
C035,Kimberly,King,F,1991-04-19,"North George",3/22/2023,34
C036,Michael,Cervantes,M,1991-11-04,Ashleyview,9/30/2020,34
C037,Miranda,Nelson,F,1982-08-30,"West Melissahaven",1/31/2024,43
C038,Tracey,Davis,M,1974-04-19,Wilsonbury,5/10/2021,51
C039,Nancy,Savage,F,1996-11-02,"Port Sandra",10/17/2022,29
C040,Scott,Powell,M,1974-11-06,"Port Miguel",7/12/2022,51
C041,Melissa,Rodgers,F,1980-07-03,"North Sharontown",1/24/2023,45
C042,Anna,Andrews,F,2000-02-08,"North Teresashire",11/9/2021,25
C043,Kenneth,Allen,M,1988-09-14,"North Jonathonhaven",10/14/2023,37
C044,Parker,Sparks,M,1961-02-14,Bryanside,12/27/2024,64
C045,Kelly,Shaw,M,1975-12-28,Zacharyfort,10/9/2023,49
C046,Dennis,Poole,M,1964-01-21,"New Jontown",6/25/2022,61
C047,Mary,Decker,F,2006-07-03,"Port Jessica",2/25/2025,19
C048,Alexis,Crane,M,2004-12-30,Newtonborough,4/10/2022,20
C049,Antonio,Hamilton,M,1997-01-03,Chambersview,6/23/2022,28
C050,Kelly,Mcmillan,M,1968-06-20,Erinland,8/25/2022,57
C051,Madison,Sellers,F,2004-12-19,Boyerstad,2/25/2024,20
C052,Billy,Hernandez,F,1991-09-11,Walkerfurt,4/25/2024,34
C053,Felicia,Morgan,F,1998-04-20,"Lake Michaelshire",4/7/2024,27
C054,Crystal,Johnson,F,2002-11-10,"New Kathleentown",3/19/2021,23
C055,Deborah,Moody,M,1976-07-09,Andersonville,2/5/2021,49
C056,Carl,Wyatt,F,2004-09-23,"North Tracey",6/19/2021,21
C057,Julie,Gibson,F,1998-09-26,Williamsville,3/26/2023,27
C058,Lawrence,Stewart,M,2005-07-22,"West Tinatown",11/10/2020,20
C059,Scott,Wyatt,F,1963-05-11,"New Meagan",9/27/2024,62
C060,Anthony,Conway,M,1997-10-09,Carlyberg,6/15/2025,28
C061,Heather,Russell,M,1968-10-21,"North Michellemouth",2/1/2021,57
C062,Susan,Salinas,M,2000-06-21,Turnerberg,9/23/2021,25
C063,Michael,Johnson,M,1973-01-07,"West Amandashire",5/29/2023,52
C064,Amanda,Hoover,F,1973-09-01,Brittanyburgh,9/26/2024,52
C065,Scott,Duke,F,1969-12-10,Williamhaven,1/21/2024,56
C066,Jason,Jenkins,F,1985-09-14,"New Randychester",12/21/2020,40
C067,Daniel,Maldonado,M,1973-09-07,Davisfurt,3/11/2021,52
C068,Alexandra,Montoya,F,1981-06-09,"New Julia",6/13/2024,44
C069,Gabriel,Daugherty,M,1965-10-14,"New Reginald",1/11/2023,60
C070,Eric,Bryan,M,1971-10-24,Taylorhaven,3/4/2021,54
C071,Denise,Gutierrez,M,1962-06-18,"New Manuelville",5/24/2021,63
C072,Eric,Watkins,F,1995-06-06,Melissashire,7/2/2022,30
C073,Carl,Armstrong,F,1964-12-04,"Port Angelabury",2/9/2022,61
C074,Jesus,Singh,F,1959-05-31,"Port Michaelstad",2/9/2023,66
C075,Seth,Moore,M,1954-09-17,"New John",5/12/2021,71
C076,Phyllis,Durham,M,2005-12-14,Nancyside,5/7/2022,20
C077,Matthew,Juarez,F,2002-12-24,"North Meagan",10/21/2022,22
C078,Jeanne,Young,M,1988-09-25,Craigport,1/14/2025,37
C079,Donald,Marsh,F,1979-06-15,"North Bradleyfurt",7/6/2024,46
C080,Grace,Garcia,F,2003-11-04,Markberg,1/2/2023,22
C081,Sarah,Reynolds,F,1988-07-20,"South Christinabury",9/22/2022,37
C082,Amy,Haley,M,2003-05-11,Vasquezmouth,6/29/2024,22
C083,Jeremy,Robles,F,1981-03-29,"West Josephport",2/8/2022,44
C084,Amanda,Lee,M,1972-03-19,Meyersstad,9/4/2024,53
C085,Juan,Ramirez,M,1979-03-23,"New Michaelview",10/11/2023,46
C086,Lawrence,Hunter,F,1975-09-26,"Port Stephanie",7/26/2023,50
C087,Laurie,Mason,F,1975-06-22,Berrymouth,7/2/2025,50
C088,Brenda,Costa,F,1997-10-11,"North Christian",9/12/2022,28
C089,William,Warner,F,1969-07-12,Geoffreystad,11/25/2022,56
C090,Carrie,Peterson,M,1975-08-18,Fergusonview,1/16/2022,50
C091,Brian,Fowler,M,1963-02-04,"Port Williamhaven",8/23/2021,62
C092,Lindsey,Holder,F,2001-11-28,Mendozaland,12/17/2023,24
C093,Stanley,Brown,M,1978-04-14,Baldwinstad,2/25/2022,47
C094,Kimberly,Stokes,M,1962-10-18,Seanland,8/7/2025,63
C095,Kevin,Snyder,M,1982-08-20,Seanville,12/19/2020,43
C096,Eric,King,M,1989-01-06,"Lake Amanda",10/27/2021,36
C097,Evelyn,Gray,M,1994-08-14,Wardfort,6/14/2025,31
C098,Lisa,Vega,F,2005-01-09,"East Colinmouth",5/22/2023,20
C099,Kimberly,Jones,M,1964-07-22,Hansonhaven,1/17/2021,61
C100,Sean,Hart,F,1954-09-28,"North Jason",11/6/2024,71
C101,William,Pope,F,1956-05-29,"North Gary",9/8/2024,69
C102,Carolyn,Perez,F,1996-06-20,"South Briantown",11/12/2023,29
C103,David,Burns,F,1964-10-26,Joyceside,6/4/2021,61
C104,Brenda,Dean,M,1965-03-20,"West Ann",1/17/2024,60
C105,Kenneth,Berg,M,1969-12-29,Morrisborough,7/6/2023,55
C106,Kevin,Flores,F,1987-04-23,"Lake Ricardo",2/6/2025,38
C107,Victoria,Hansen,F,1995-10-08,"Lake Dale",7/17/2023,30
C108,Samantha,Hill,M,1960-11-21,Georgetown,6/8/2022,65
C109,Austin,Hogan,F,2006-03-03,"Port Fernandohaven",7/29/2021,19
C110,Travis,Peters,F,1966-01-05,"South Ianhaven",12/31/2022,59
C111,Dylan,Booker,M,1993-07-13,Justintown,1/12/2022,32
C112,Jeffrey,Smith,F,1983-12-29,Aaronmouth,3/21/2023,41
C113,Heidi,Wilson,M,1977-05-23,Ramosbury,12/31/2022,48
C114,Miranda,Rodriguez,F,1980-07-04,Adkinsport,8/23/2025,45
C115,Jose,Smith,M,1960-02-25,Smithburgh,11/12/2023,65
C116,Jamie,Webb,M,1955-09-26,Zacharyberg,7/31/2025,70
C117,Timothy,Beck,F,1987-09-07,Lauraborough,12/18/2022,38
C118,Gina,Bradford,M,1975-08-27,"Port William",7/12/2025,50
C119,Jason,Lloyd,M,1991-07-31,"West Ralph",3/31/2025,34
C120,Curtis,Faulkner,F,1964-01-10,Annaborough,10/18/2020,61
C121,John,Bell,M,1967-02-28,Sarahhaven,10/11/2021,58
C122,Amy,Smith,M,1961-10-02,Simonstad,6/24/2024,64
C123,Peter,Edwards,F,1989-11-06,Cliffordbury,6/6/2022,36
C124,Chad,Roberts,F,1962-06-07,"North Michelle",2/10/2021,63
C125,Kimberly,Parker,M,1990-04-03,"Lake Christopher",3/14/2021,35
C126,Monique,Johnson,M,1980-04-04,"West Paulfurt",12/28/2024,45
C127,John,Allen,F,1982-11-17,Kimland,1/22/2021,43
C128,Robert,Collins,F,1976-08-06,Anthonystad,2/9/2025,49
C129,Gary,Taylor,M,1958-10-08,"New Michael",12/10/2024,67
C130,Aaron,Bailey,M,1982-02-03,Marcchester,7/15/2024,43
C131,Denise,Jackson,M,1996-10-18,Williamsport,12/20/2022,29
C132,Jared,Ochoa,M,1958-12-24,Cisnerosville,4/19/2023,66
C133,Yvette,Roth,M,1962-04-14,"East Melissashire",6/23/2025,63
C134,Emily,Hart,F,1985-01-29,Angelaland,5/22/2025,40
C135,Mario,Cuevas,M,1986-03-07,"North Charlesville",9/3/2023,39
C136,Amanda,Garcia,M,2007-06-27,Watsonview,4/22/2023,18
C137,Gary,Lopez,M,1984-08-05,Amandachester,5/9/2024,41
C138,Breanna,Moore,F,1961-09-28,Melissaberg,5/10/2021,64
C139,Alexander,Mcfarland,M,1960-03-21,Whiteside,9/16/2021,65
C140,Stacy,Williams,F,1973-06-12,"Port Gail",8/28/2024,52
C141,Adam,Lucas,F,1978-08-06,Allisonmouth,1/7/2024,47
C142,Suzanne,Fox,M,2005-07-25,Joelborough,12/27/2020,20
C143,Cynthia,Carlson,M,1961-06-03,"South Jameschester",6/10/2023,64
C144,Betty,Johnson,F,1963-09-02,"North Lisa",3/3/2021,62
C145,Paige,Osborne,F,1959-11-07,Carlsonborough,8/19/2021,66
C146,John,Johnson,F,1997-03-26,"North Jamesport",8/31/2022,28
C147,Crystal,Garrison,F,1967-02-03,"New Jason",5/20/2023,58
C148,John,Foster,F,2005-07-08,Charlesmouth,11/5/2024,20
C149,Melissa,Torres,M,1978-01-24,"North Kathryn",5/2/2025,47
C150,Francis,Hernandez,M,1971-06-17,Juliefurt,10/7/2022,54
C151,Dawn,Fletcher,M,2006-08-30,"South Audrey",1/26/2022,19
C152,Brittany,Green,M,1987-06-17,"Port Jeffreyside",3/6/2021,38
C153,Nancy,Gordon,F,1988-04-07,"Port Alex",2/5/2023,37
C154,Lisa,Martinez,M,1971-09-02,"East Codyton",11/21/2023,54
C155,Jill,Mcconnell,M,1965-09-20,Kevinshire,3/23/2024,60
C156,George,Young,M,1956-11-28,Lisatown,1/4/2024,69
C157,Connie,Terry,M,1965-12-16,"Port Patriciaburgh",12/22/2022,59
C158,Crystal,Aguirre,M,1981-07-24,Dylanmouth,9/15/2023,44
C159,Thomas,Chung,M,1990-10-14,Joshuamouth,1/26/2022,35
C160,Meagan,Macdonald,M,1991-09-10,"Port Jacob",10/27/2021,34
C161,Michael,Perez,M,1963-01-19,Shannontown,1/31/2023,62
C162,Jill,Roach,M,2000-08-30,Ellisside,6/3/2022,25
C163,Erin,Rogers,F,1985-10-08,"Lake Lindsay",8/20/2025,40
C164,Linda,Vasquez,M,1968-07-28,"North Rodney",12/21/2020,57
C165,Tanya,Mueller,M,1972-12-26,"West Tanner",12/5/2023,52
C166,Meagan,Ali,F,2001-05-13,"South Markbury",7/10/2023,24
C167,Kimberly,Lin,F,1989-12-06,Wilsonland,5/28/2022,36
C168,Richard,Jones,M,1969-07-30,"Lake Steventown",10/1/2022,56
C169,Travis,Watson,M,1967-06-15,Christopherburgh,12/23/2021,58
C170,Amber,Graham,F,1984-05-05,"Lake Melissaborough",8/20/2025,41
C171,Christina,Dominguez,M,1993-03-15,Robertsborough,7/28/2025,32
C172,Michelle,Smith,F,1977-03-14,"New Fred",6/21/2025,48
C173,Lisa,Ruiz,F,1958-08-28,"South Marcusberg",8/22/2025,67
C174,Scott,Howell,M,2005-07-07,"South Jennifer",8/28/2025,20
C175,Stacey,Thompson,M,1998-01-07,Davidtown,2/25/2021,27
C176,Peter,Garcia,M,1979-10-07,"West Amymouth",7/22/2021,46
C177,Anthony,Gould,F,1985-01-05,"South James",1/23/2022,40
C178,Mark,Mcdonald,F,1960-12-05,"East Paulburgh",6/22/2024,65
C179,Dennis,Wallace,F,1985-02-14,Bennettburgh,8/19/2025,40
C180,Nichole,Calhoun,F,1959-12-15,"West Dakotaside",10/19/2022,66
C181,Brittany,Oneal,F,1972-11-28,"Port Bryce",12/12/2024,53
C182,Meghan,Wright,M,2004-07-25,"East Rodney",4/16/2021,21
C183,Mary,Dawson,M,1990-11-19,"New Tiffanyberg",8/27/2021,35
C184,Daniel,Mcintyre,M,2003-04-13,"West Katrina",4/19/2021,22
C185,Joe,Vincent,F,1975-07-04,"North Chaseborough",10/6/2024,50
C186,Vicki,Guzman,F,1960-05-05,"West Wandaland",2/7/2024,65
C187,Cynthia,Cherry,M,1989-01-14,Gomeztown,11/1/2023,36
C188,Ryan,Flores,M,1960-11-23,"East Danielleshire",5/19/2023,65
C189,Steve,Flynn,M,1966-08-07,"East Walter",3/5/2021,59
C190,Daniel,Lawson,M,1967-08-19,Conwayside,4/10/2023,58
C191,Karen,Quinn,F,1958-07-14,Kristinemouth,6/11/2022,67
C192,James,Wilson,M,2006-07-28,Franklinview,9/26/2023,19
C193,Donald,Meza,F,1969-11-06,"North Kelly",12/8/2020,56
C194,Ann,West,M,2000-09-02,Craigshire,8/5/2022,25
C195,James,Mitchell,F,1976-08-23,"East Raymond",6/19/2025,49
C196,James,Noble,F,1964-04-24,Woodbury,2/19/2025,61
C197,Matthew,Dixon,M,1957-09-23,"Lake Emily",11/18/2020,68
C198,Jessica,Mullins,M,1986-01-23,Jessicaside,12/10/2022,39
C199,Juan,Johnson,F,1970-05-18,"South Scottton",7/28/2021,55
C200,Ronald,Haley,M,2001-12-24,Jenniferbury,6/24/2025,23
